날짜,시그니처,설명,클래스,위험도,프로토콜,출발 IP,출발 포트,도착 IP,도착 포트
2026-06-01 04:01:06.785351,2210054,SURICATA STREAM excessive retransmissions,Generic Protocol Command Decode,3,TCP,208.123.73.209,443,192.168.45.3,23895
2026-06-01 05:09:58.383046,2001219,ET SCAN Potential SSH Scan,Attempted Information Leak,2,TCP,195.250.20.4,39378,192.168.45.3,22
2026-06-01 05:10:12.268873,2010935,ET SCAN Suspicious inbound to MSSQL port 1433,Potentially Bad Traffic,2,TCP,195.250.20.4,11494,192.168.45.3,1433
2026-06-01 05:10:12.397323,2010937,ET SCAN Suspicious inbound to mySQL port 3306,Potentially Bad Traffic,2,TCP,195.250.20.4,30510,192.168.45.3,3306
2026-06-01 05:10:13.297389,2010935,ET SCAN Suspicious inbound to MSSQL port 1433,Potentially Bad Traffic,2,TCP,195.250.20.4,11494,192.168.45.3,1433
2026-06-01 05:10:13.425730,2010937,ET SCAN Suspicious inbound to mySQL port 3306,Potentially Bad Traffic,2,TCP,195.250.20.4,30510,192.168.45.3,3306
2026-06-01 05:10:14.321835,2010935,ET SCAN Suspicious inbound to MSSQL port 1433,Potentially Bad Traffic,2,TCP,195.250.20.4,11494,192.168.45.3,1433
2026-06-01 05:10:14.449907,2010937,ET SCAN Suspicious inbound to mySQL port 3306,Potentially Bad Traffic,2,TCP,195.250.20.4,30510,192.168.45.3,3306
2026-06-01 05:10:15.345424,2010935,ET SCAN Suspicious inbound to MSSQL port 1433,Potentially Bad Traffic,2,TCP,195.250.20.4,11494,192.168.45.3,1433
2026-06-01 05:10:15.473811,2010937,ET SCAN Suspicious inbound to mySQL port 3306,Potentially Bad Traffic,2,TCP,195.250.20.4,30510,192.168.45.3,3306
2026-06-01 05:10:16.369482,2010935,ET SCAN Suspicious inbound to MSSQL port 1433,Potentially Bad Traffic,2,TCP,195.250.20.4,11494,192.168.45.3,1433
2026-06-01 05:10:16.498006,2010937,ET SCAN Suspicious inbound to mySQL port 3306,Potentially Bad Traffic,2,TCP,195.250.20.4,30510,192.168.45.3,3306
2026-06-01 05:10:18.458577,2010939,ET SCAN Suspicious inbound to PostgreSQL port 5432,Potentially Bad Traffic,2,TCP,195.250.20.4,23664,192.168.45.3,5432
2026-06-01 05:10:19.502999,2010939,ET SCAN Suspicious inbound to PostgreSQL port 5432,Potentially Bad Traffic,2,TCP,195.250.20.4,23664,192.168.45.3,5432
2026-06-01 05:10:20.526947,2010939,ET SCAN Suspicious inbound to PostgreSQL port 5432,Potentially Bad Traffic,2,TCP,195.250.20.4,23664,192.168.45.3,5432
2026-06-01 05:10:21.551097,2010939,ET SCAN Suspicious inbound to PostgreSQL port 5432,Potentially Bad Traffic,2,TCP,195.250.20.4,23664,192.168.45.3,5432
2026-06-01 05:10:22.575116,2010939,ET SCAN Suspicious inbound to PostgreSQL port 5432,Potentially Bad Traffic,2,TCP,195.250.20.4,23664,192.168.45.3,5432
2026-06-01 05:25:20.015892,2210054,SURICATA STREAM excessive retransmissions,Generic Protocol Command Decode,3,TCP,146.75.50.132,80,192.168.45.3,23244
2026-06-01 05:26:20.452378,2210054,SURICATA STREAM excessive retransmissions,Generic Protocol Command Decode,3,TCP,151.101.66.132,80,192.168.45.3,12952
